iter	Passed	Remaining
0	1	1292
1	2	1227
2	3	1257
3	7	1849
4	8	1755
5	9	1655
6	11	1583
7	12	1547
8	13	1498
9	14	1469
10	16	1453
11	17	1436
12	18	1439
13	22	1575
14	23	1573
15	25	1546
16	26	1520
17	27	1505
18	28	1491
19	30	1472
20	31	1458
21	32	1444
22	33	1429
23	36	1497
24	38	1503
25	39	1495
26	41	1482
27	42	1468
28	43	1455
29	44	1443
30	45	1432
31	46	1421
32	48	1413
33	49	1403
34	52	1455
35	54	1466
36	59	1542
37	60	1543
38	63	1557
39	68	1647
40	70	1651
41	72	1645
42	73	1639
43	75	1636
44	76	1626
45	78	1619
46	79	1609
47	81	1614
48	82	1607
49	84	1600
50	85	1594
51	87	1587
52	88	1578
53	89	1569
54	90	1560
55	92	1553
56	95	1577
57	96	1570
58	97	1560
59	98	1550
60	100	1541
61	101	1533
62	102	1525
63	103	1518
64	105	1512
65	106	1506
66	111	1549
67	112	1547
68	114	1539
69	115	1532
70	116	1526
71	117	1519
72	119	1514
73	120	1508
74	122	1509
75	132	1608
76	133	1603
77	135	1597
78	136	1591
79	137	1584
80	140	1597
81	142	1598
82	144	1594
83	145	1591
84	146	1581
85	148	1575
86	149	1570
87	150	1564
88	152	1559
89	155	1572
90	157	1571
91	158	1569
92	161	1570
93	162	1567
94	164	1562
95	165	1556
96	166	1550
97	167	1545
98	171	1560
99	172	1556
100	174	1551
101	175	1549
102	177	1543
103	178	1537
104	179	1531
105	180	1525
106	182	1518
107	183	1512
108	184	1510
109	186	1505
110	187	1498
111	188	1491
112	189	1485
113	190	1479
114	191	1473
115	192	1468
116	193	1463
117	194	1457
118	196	1451
119	199	1461
120	200	1457
121	201	1451
122	202	1445
123	203	1438
124	204	1433
125	205	1427
126	206	1421
127	208	1421
128	209	1417
129	211	1412
130	214	1420
131	215	1416
132	216	1411
133	217	1405
134	218	1400
135	219	1395
136	220	1390
137	221	1385
138	223	1383
139	224	1379
140	227	1387
141	229	1387
142	230	1382
143	232	1380
144	233	1376
145	234	1371
146	235	1367
147	236	1363
148	238	1361
149	241	1366
150	242	1363
151	243	1360
152	244	1356
153	246	1352
154	247	1348
155	248	1344
156	249	1340
157	250	1336
158	251	1332
159	253	1328
160	255	1333
161	257	1332
162	258	1327
163	259	1324
164	260	1320
165	262	1320
166	265	1326
167	267	1322
168	271	1334
169	272	1331
170	273	1328
171	275	1324
172	276	1320
173	277	1315
174	278	1311
175	279	1307
176	280	1303
177	281	1299
178	282	1295
179	286	1306
180	287	1302
181	288	1298
182	290	1294
183	291	1291
184	292	1287
185	293	1283
186	294	1278
187	295	1276
188	298	1279
189	300	1281
190	301	1277
191	302	1273
192	303	1269
193	304	1265
194	305	1262
195	306	1258
196	307	1254
197	308	1250
198	309	1246
199	310	1243
200	315	1253
201	316	1250
202	317	1246
203	318	1243
204	319	1239
205	320	1236
206	321	1232
207	322	1229
208	323	1225
209	325	1222
210	326	1221
211	329	1223
212	330	1220
213	331	1217
214	332	1214
215	333	1211
216	334	1208
217	336	1205
218	337	1201
219	338	1198
220	339	1195
221	340	1192
222	343	1196
223	344	1194
224	346	1191
225	347	1189
226	348	1185
227	349	1182
228	350	1179
229	351	1176
230	352	1173
231	353	1170
232	354	1166
233	357	1171
234	359	1170
235	360	1167
236	361	1164
237	362	1161
238	363	1157
239	364	1154
240	365	1151
241	366	1148
242	367	1145
243	368	1142
244	369	1139
245	373	1144
246	374	1141
247	375	1138
248	376	1135
249	377	1132
250	378	1130
251	379	1127
252	380	1124
253	381	1121
254	382	1118
255	383	1115
256	387	1119
257	389	1120
258	391	1118
259	394	1121
260	395	1118
261	396	1116
262	397	1113
263	398	1110
264	399	1107
265	403	1114
266	405	1112
267	406	1109
268	407	1106
269	408	1104
270	409	1101
271	410	1099
272	412	1097
273	413	1095
274	414	1092
275	417	1096
276	419	1094
277	420	1092
278	421	1090
279	422	1087
280	423	1084
281	425	1082
282	426	1079
283	427	1076
284	428	1074
285	429	1071
286	430	1070
287	432	1068
288	433	1065
289	434	1062
290	435	1060
291	436	1057
292	437	1054
293	438	1052
294	439	1050
295	440	1047
296	441	1045
297	443	1043
298	446	1046
299	447	1044
300	448	1041
301	449	1039
302	450	1036
303	451	1034
304	452	1031
305	453	1028
306	454	1026
307	455	1023
308	456	1021
309	461	1026
310	462	1024
311	463	1021
312	464	1019
313	465	1016
314	466	1014
315	467	1011
316	468	1009
317	469	1007
318	470	1004
319	471	1002
320	475	1006
321	477	1005
322	478	1002
323	479	1000
324	480	998
325	481	995
326	482	993
327	483	990
328	484	988
329	485	985
330	486	983
331	491	988
332	492	987
333	493	984
334	494	982
335	495	980
336	497	977
337	498	975
338	499	973
339	500	970
340	501	968
341	504	970
342	506	970
343	508	969
344	510	968
345	513	970
346	515	969
347	516	967
348	520	970
349	521	968
350	523	967
351	524	964
352	525	963
353	526	961
354	528	959
355	529	958
356	531	956
357	533	957
358	535	956
359	536	954
360	538	952
361	539	951
362	541	949
363	542	947
364	545	949
365	548	950
366	550	949
367	552	948
368	553	946
369	554	944
370	555	942
371	557	940
372	558	939
373	560	937
374	561	935
375	565	938
376	566	936
377	567	934
378	573	939
379	574	938
380	576	936
381	581	940
382	582	939
383	585	938
384	586	936
385	587	935
386	589	933
387	590	931
388	591	929
389	596	932
390	597	931
391	598	928
392	600	928
393	602	926
394	603	924
395	604	922
396	605	920
397	609	922
398	616	928
399	619	928
400	620	927
401	622	925
402	626	927
403	628	926
404	629	924
405	630	923
406	632	921
407	634	920
408	635	918
409	636	916
410	640	917
411	644	919
412	645	918
413	647	916
414	648	913
415	649	911
416	650	909
417	652	907
418	653	905
419	656	906
420	657	904
421	659	903
422	660	901
423	661	898
424	662	896
425	663	894
426	664	892
427	665	889
428	666	887
429	670	889
430	671	887
431	673	884
432	674	883
433	675	881
434	676	879
435	678	877
436	679	875
437	680	872
438	681	870
439	683	870
440	684	868
441	686	866
442	687	864
443	688	862
444	689	860
445	690	858
446	691	855
447	692	853
448	693	851
449	694	849
450	696	847
451	699	848
452	700	846
453	701	844
454	703	842
455	704	840
456	705	838
457	706	836
458	707	833
459	708	831
460	709	829
461	710	827
462	713	827
463	715	826
464	716	824
465	717	822
466	718	820
467	720	818
468	721	816
469	722	814
470	723	812
471	724	810
472	725	808
473	727	807
474	729	806
475	731	805
476	732	803
477	733	801
478	735	799
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	743	789
485	744	787
486	746	785
487	747	783
488	748	782
489	749	780
490	750	778
491	751	776
492	752	774
493	753	772
494	755	771
495	759	771
496	760	769
497	761	767
498	762	765
499	763	763
500	764	761
501	766	760
502	767	757
503	768	755
504	769	753
505	772	753
506	774	752
507	776	752
508	778	750
509	779	748
510	780	746
511	781	745
512	782	743
513	783	741
514	787	741
515	789	740
516	790	738
517	791	736
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	802	723
526	804	721
527	805	719
528	806	717
529	807	716
530	808	714
531	809	712
532	810	710
533	811	708
534	812	706
535	813	704
536	816	703
537	817	702
538	819	700
539	820	698
540	821	696
541	822	695
542	823	693
543	824	691
544	825	689
545	827	687
546	828	685
547	829	684
548	832	684
549	833	682
550	834	680
551	835	678
552	837	676
553	838	674
554	839	673
555	840	671
556	841	669
557	842	667
558	843	665
559	846	664
560	847	663
561	849	661
562	850	660
563	852	658
564	853	657
565	854	655
566	855	653
567	856	651
568	857	649
569	860	649
570	862	647
571	863	646
572	864	644
573	865	642
574	867	641
575	868	639
576	869	637
577	871	636
578	872	634
579	873	632
580	876	632
581	878	630
582	879	629
583	880	627
584	882	626
585	883	624
586	884	622
587	885	620
588	886	618
589	887	616
590	890	616
591	892	614
592	893	613
593	894	611
594	895	609
595	896	607
596	897	606
597	898	604
598	899	602
599	900	600
600	901	598
601	902	596
602	906	596
603	910	596
604	911	595
605	912	593
606	913	591
607	914	589
608	915	587
609	916	586
610	917	584
611	920	583
612	922	582
613	923	580
614	924	578
615	925	576
616	926	575
617	927	573
618	928	571
619	930	570
620	931	568
621	932	566
622	933	565
623	935	563
624	936	562
625	937	560
626	938	558
627	939	556
628	941	555
629	942	553
630	943	551
631	944	549
632	945	548
633	946	546
634	949	545
635	951	544
636	952	542
637	953	540
638	954	539
639	955	537
640	957	536
641	958	534
642	959	532
643	960	531
644	961	529
645	964	528
646	965	526
647	966	525
648	967	523
649	968	521
650	969	519
651	971	518
652	972	516
653	973	514
654	974	513
655	975	511
656	976	509
657	979	508
658	980	507
659	981	505
660	982	503
661	983	502
662	985	500
663	986	499
664	987	497
665	988	495
666	989	493
667	990	492
668	991	490
669	994	489
670	996	488
671	997	486
672	998	485
673	999	483
674	1000	481
675	1002	480
676	1003	478
677	1004	476
678	1005	475
679	1006	473
680	1009	473
681	1011	471
682	1012	469
683	1013	468
684	1015	467
685	1016	465
686	1018	463
687	1019	462
688	1020	460
689	1024	460
690	1025	458
691	1026	456
692	1027	455
693	1029	453
694	1030	452
695	1031	450
696	1032	449
697	1034	447
698	1035	445
699	1039	445
700	1040	443
701	1042	442
702	1043	440
703	1046	439
704	1047	438
705	1048	436
706	1049	434
707	1053	434
708	1054	432
709	1056	431
710	1057	429
711	1058	428
712	1060	426
713	1063	426
714	1065	424
715	1067	423
716	1068	421
717	1069	420
718	1070	418
719	1071	416
720	1073	415
721	1074	413
722	1075	411
723	1076	410
724	1079	409
725	1080	407
726	1081	406
727	1082	404
728	1083	402
729	1084	401
730	1085	399
731	1086	397
732	1087	396
733	1088	394
734	1089	392
735	1090	391
736	1093	390
737	1095	388
738	1096	387
739	1097	385
740	1098	384
741	1099	382
742	1100	380
743	1101	379
744	1103	377
745	1104	375
746	1105	374
747	1106	372
748	1109	371
749	1111	370
750	1112	368
751	1113	367
752	1114	365
753	1115	363
754	1116	362
755	1117	360
756	1121	359
757	1122	358
758	1124	357
759	1126	355
760	1127	354
761	1128	352
762	1130	351
763	1131	349
764	1132	347
765	1133	346
766	1136	345
767	1138	343
768	1139	342
769	1140	340
770	1142	339
771	1143	337
772	1149	337
773	1151	336
774	1153	334
775	1159	334
776	1161	333
777	1170	333
778	1172	332
779	1178	332
780	1188	333
781	1193	332
782	1194	331
783	1196	329
784	1197	328
785	1199	326
786	1200	324
787	1201	323
788	1202	321
789	1204	320
790	1206	318
791	1208	317
792	1210	315
793	1211	314
794	1212	312
795	1214	311
796	1215	309
797	1216	307
798	1217	306
799	1218	304
800	1220	303
801	1222	301
802	1224	300
803	1226	298
804	1227	297
805	1229	295
806	1230	294
807	1231	292
808	1232	290
809	1233	289
810	1237	288
811	1238	286
812	1239	285
813	1240	283
814	1241	281
815	1242	280
816	1243	278
817	1244	276
818	1245	275
819	1246	273
820	1248	272
821	1249	270
822	1251	269
823	1252	267
824	1253	265
825	1255	264
826	1256	262
827	1257	261
828	1258	259
829	1259	258
830	1260	256
831	1261	254
832	1263	253
833	1265	251
834	1266	250
835	1267	248
836	1269	247
837	1270	245
838	1271	243
839	1272	242
840	1273	240
841	1275	239
842	1276	237
843	1277	236
844	1278	234
845	1280	233
846	1281	231
847	1282	229
848	1284	228
849	1285	226
850	1286	225
851	1287	223
852	1288	222
853	1289	220
854	1290	218
855	1291	217
856	1292	215
857	1295	214
858	1296	212
859	1297	211
860	1298	209
861	1299	208
862	1300	206
863	1301	204
864	1302	203
865	1303	201
866	1304	200
867	1305	198
868	1306	196
869	1309	195
870	1310	194
871	1313	192
872	1314	191
873	1316	189
874	1317	188
875	1318	186
876	1319	185
877	1320	183
878	1321	181
879	1323	180
880	1324	178
881	1325	177
882	1326	175
883	1327	174
884	1328	172
885	1330	171
886	1331	169
887	1332	168
888	1333	166
889	1334	164
890	1335	163
891	1336	161
892	1339	160
893	1340	158
894	1341	157
895	1342	155
896	1343	154
897	1344	152
898	1346	151
899	1347	149
900	1348	148
901	1349	146
902	1350	145
903	1351	143
904	1354	142
905	1355	140
906	1356	139
907	1357	137
908	1358	135
909	1359	134
910	1361	132
911	1362	131
912	1363	129
913	1364	128
914	1365	126
915	1367	125
916	1369	123
917	1370	122
918	1371	120
919	1372	119
920	1373	117
921	1374	116
922	1376	114
923	1377	113
924	1378	111
925	1379	110
926	1380	108
927	1382	107
928	1384	105
929	1385	104
930	1386	102
931	1388	101
932	1389	99
933	1390	98
934	1392	96
935	1393	95
936	1395	93
937	1398	92
938	1400	90
939	1401	89
940	1403	87
941	1404	86
942	1406	84
943	1407	83
944	1409	82
945	1412	80
946	1414	79
947	1415	77
948	1417	76
949	1418	74
950	1420	73
951	1421	71
952	1423	70
953	1424	68
954	1425	67
955	1429	65
956	1430	64
957	1432	62
958	1433	61
959	1435	59
960	1436	58
961	1439	56
962	1442	55
963	1444	53
964	1450	52
965	1452	51
966	1454	49
967	1456	48
968	1459	46
969	1461	45
970	1463	43
971	1465	42
972	1466	40
973	1468	39
974	1469	37
975	1470	36
976	1473	34
977	1475	33
978	1477	31
979	1478	30
980	1479	28
981	1481	27
982	1482	25
983	1484	24
984	1485	22
985	1488	21
986	1489	19
987	1490	18
988	1492	16
989	1493	15
990	1494	13
991	1496	12
992	1497	10
993	1498	9
994	1500	7
995	1503	6
996	1504	4
997	1506	3
998	1507	1
999	1509	0
